ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,302,1,210,1ª Región,Iquique,Iquique,1101,IQUIQUE,1101
2003,324,2,220,2ª Región,Tocopilla,Tocopilla,2301,TOCOPILLA,2301
2003,327,2,220,2ª Región,Tocopilla,Tocopilla,2301,TOCOPILLA,2301
2003,337,2,221,2ª Región,María Elena,María Elena,2302,MARÍA ELENA,2302
2003,346,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,348,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,351,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,352,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,354,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,357,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,358,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,371,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,379,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,381,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,382,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,386,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,387,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,391,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,392,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,406,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,419,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,421,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,425,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,428,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,432,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,436,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,438,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,439,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,440,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,444,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,450,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,452,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,455,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
2003,458,2,225,2ª Región,Calama,Calama,2201,CALAMA,2201
