REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,ID_ZONA_LOC,NVIV,NHOGAR,PERSONAN,P07,P08,P09,P10,P10COMUNA,P10PAIS,P11,P11COMUNA,P11PAIS,P12,P12COMUNA,P12PAIS,P12A_LLEGADA,P12A_TRAMO,P13,P14,P15,P15A,P16,P16A,P16A_OTRO,P17,P18,P19,P20,P21M,P21A,P10PAIS_GRUPO,P11PAIS_GRUPO,P12PAIS_GRUPO,ESCOLARIDAD,P16A_GRUPO,REGION_15R,PROVINCIA_15R,COMUNA_15R,P10COMUNA_15R,P11COMUNA_15R,P12COMUNA_15R
10,101,10102,1,2,8,12926,215,1,3,5,1,17,1,98,998,2,98,998,2,10108,998,9998,98,1,2,8,2,1,1,98,5,98,98,98,98,9998,998,998,998,10,1,10,101,10102,98,98,10108
10,101,10102,1,2,8,12926,215,1,4,5,2,11,1,98,998,2,98,998,1,98,998,9998,98,1,5,5,2,1,1,98,98,98,98,98,98,9998,998,998,998,5,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,216,1,1,1,2,71,1,98,998,2,98,998,1,98,998,9998,98,2,1,6,2,2,98,98,7,98,5,5,9,1982,998,998,998,1,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,216,1,2,14,1,58,1,98,998,2,98,998,1,98,998,9998,98,2,6,5,2,1,1,98,99,99,98,98,98,9998,998,998,998,6,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,219,1,1,1,1,38,1,98,998,3,10101,998,2,10301,998,9998,98,2,4,8,1,1,1,98,1,C,98,98,98,9998,998,998,998,12,1,10,101,10102,98,10101,10301
10,101,10102,1,2,8,12926,221,1,1,1,1,61,1,98,998,2,98,998,2,10301,998,9998,98,2,5,5,2,1,1,98,1,Z,98,98,98,9998,998,998,998,5,1,10,101,10102,98,98,10301
10,101,10102,1,2,8,12926,221,1,2,2,2,60,1,98,998,2,98,998,2,10107,998,9998,98,2,8,5,1,2,98,98,6,98,2,1,9,1984,998,998,998,8,98,10,101,10102,98,98,10107
10,101,10102,1,2,8,12926,221,1,3,12,1,10,1,98,998,2,98,998,1,98,998,9998,98,1,4,5,2,1,1,98,98,98,98,98,98,9998,998,998,998,4,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,221,1,4,12,2,9,1,98,998,2,98,998,1,98,998,9998,98,1,3,5,2,1,1,98,98,98,98,98,98,9998,998,998,998,3,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,222,1,1,1,1,48,1,98,998,2,98,998,1,98,998,9998,98,2,2,7,2,2,98,98,1,H,98,98,98,9998,998,998,998,10,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,222,1,2,4,2,51,1,98,998,2,98,998,1,98,998,9998,98,2,6,5,2,2,98,98,1,C,4,4,2,2005,998,998,998,6,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,222,1,3,5,1,25,1,98,998,2,98,998,1,98,998,9998,98,2,2,11,2,2,98,98,1,Z,98,98,98,9998,998,998,998,14,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,222,1,4,5,1,22,1,98,998,2,98,998,1,98,998,9998,98,2,4,8,1,2,98,98,1,Z,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,222,1,5,5,2,12,1,98,998,2,98,998,1,98,998,9998,98,1,6,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,6,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,1,1,2,52,1,98,998,2,98,998,99,99,999,9999,99,2,5,5,2,99,99,99,4,98,6,6,9,2007,998,998,999,5,99,10,101,10102,98,98,99
10,101,10102,1,2,8,12926,223,1,2,5,1,27,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,1,1,98,1,Z,98,98,98,9998,998,998,998,8,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,3,5,1,26,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,1,1,98,1,C,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,4,5,2,16,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,4,98,0,98,98,9998,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,5,5,1,9,1,98,998,2,98,998,1,98,998,9998,98,1,3,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,6,12,2,0,1,98,998,1,98,998,1,98,998,9998,98,3,98,98,98,1,1,98,98,98,98,98,98,9998,998,998,998,0,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,223,1,7,11,2,22,1,98,998,3,10108,998,2,10108,998,9998,98,2,4,7,1,2,98,98,3,Z,1,1,3,2017,998,998,998,12,98,10,101,10102,98,10108,10108
10,101,10102,1,2,8,12926,224,1,1,1,2,70,1,98,998,99,99,999,1,98,998,9998,98,1,4,5,2,2,98,98,1,I,7,7,9,1989,998,999,998,4,98,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,224,1,2,14,1,70,1,98,998,2,98,998,1,98,998,9998,98,99,99,7,99,2,98,98,6,98,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,225,1,1,1,2,47,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,6,98,4,4,11,2011,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,225,1,2,5,1,21,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,1,1,98,1,C,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,225,1,3,5,2,8,1,98,998,2,98,998,1,98,998,9998,98,1,2,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,2,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,225,1,4,5,1,5,1,98,998,2,98,998,1,98,998,9998,98,1,0,3,2,2,98,98,98,98,98,98,98,9998,998,998,998,0,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,227,1,1,1,2,56,1,98,998,2,98,998,1,98,998,9998,98,2,4,5,2,1,1,98,6,98,4,4,12,1998,998,998,998,4,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,227,1,2,2,1,49,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,1,1,98,3,Z,98,98,98,9998,998,998,998,8,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,227,1,3,12,2,2,1,98,998,1,98,998,1,98,998,9998,98,1,0,1,2,1,1,98,98,98,98,98,98,9998,998,998,998,0,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,227,1,4,5,1,18,1,98,998,2,98,998,1,98,998,9998,98,1,4,8,2,1,1,98,5,98,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,227,1,5,10,1,90,1,98,998,2,98,998,1,98,998,9998,98,2,99,6,99,1,1,98,7,98,98,98,98,9998,998,998,998,99,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,228,1,1,1,1,48,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,1,1,98,1,A,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,228,1,2,5,2,24,1,98,998,2,98,998,1,98,998,9998,98,2,4,12,1,1,1,98,4,98,0,98,98,9998,998,998,998,16,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,228,1,3,5,2,15,1,98,998,2,98,998,1,98,998,9998,98,2,1,7,2,1,1,98,5,98,0,98,98,9998,998,998,998,9,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,230,1,1,1,1,78,1,98,998,2,98,998,1,98,998,9998,98,2,99,6,2,2,98,98,7,98,98,98,98,9998,998,998,998,99,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,230,1,2,2,2,75,1,98,998,2,98,998,1,98,998,9998,98,2,3,5,2,2,98,98,7,98,6,6,10,1974,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,230,1,3,5,1,45,1,98,998,2,98,998,1,98,998,9998,98,2,3,5,2,2,98,98,1,Z,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,230,1,4,12,2,23,1,98,998,2,98,998,1,98,998,9998,98,2,3,8,2,1,1,98,4,98,0,98,98,9998,998,998,998,11,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,230,1,5,12,1,9,3,10203,998,2,98,998,1,98,998,9998,98,1,1,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,1,98,10,101,10102,10203,98,98
10,101,10102,1,2,8,12926,231,1,1,1,2,73,1,98,998,2,98,998,1,98,998,9998,98,2,3,6,2,2,98,98,6,98,12,9,1,1977,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,231,1,2,5,1,39,1,98,998,2,98,998,1,98,998,9998,98,2,3,5,2,2,98,98,6,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,232,1,1,1,2,50,1,98,998,2,98,998,2,997,998,9998,98,2,8,5,1,2,98,98,1,C,2,1,7,1994,998,998,998,8,98,10,101,10102,98,98,997
10,101,10102,1,2,8,12926,232,1,2,14,1,22,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,2,98,98,1,N,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,235,1,1,1,2,39,1,98,998,2,98,998,1,98,998,9998,98,1,6,5,2,2,98,98,6,98,1,1,5,2013,998,998,998,6,98,10,101,10102,98,98,98
